schemaVersion,recordType,source.name,source.url,product_name,content.startupName,content.pricingModel,category,description,collectedAt
1.0,PRODUCT,Awesome Generative AI Directory,https://cohere.com/,Cohere,Cohere,FREEMIUM,Generative AI Application,Cohere provides access to advanced Large Language Models and NLP tools.,2026-09-12T07:57:10.568272+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://github.com/pathwaycom/llm-app,LLM App,LLM App,FREE,Generative AI Application,Open-source Python library to build real-time LLM-enabled data pipeline.,2026-09-12T07:57:10.568363+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://cursor.com/,Cursor,Anysphere (Cursor),FREEMIUM,Generative AI Application,"Cursor is the IDE of the future, built for pair-programming with Powerful AI.",2026-09-12T07:57:10.568461+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://github.com/ExtensityAI/symbolicai,SymbolicAI,SymbolicAI,FREE,Generative AI Application,A neuro-symbolic framework for building applications with LLMs at the core.,2026-09-12T07:57:10.568486+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://vanna.ai/,Vanna.ai,Vanna.ai,FREE,Generative AI Application,An open-source Python RAG framework for SQL generation and related functionality. [#opensource](https://github.com/vanna-ai/vanna),2026-09-12T07:57:10.568509+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://github.com/agenta-ai/agenta,agenta,Agenta,FREE,Generative AI Application,"An open-source end-to-end LLMOps platform for prompt engineering, evaluation, and deployment. #opensource",2026-09-12T07:57:10.568563+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://www.together.ai/,Together AI,Together AI,FREEMIUM,Generative AI Application,"Train, fine-tune-and run inference on AI models blazing fast, at low cost, and at production scale.",2026-09-12T07:57:10.568586+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://gitingest.com/,Gitingest,Gitingest,FREE,Generative AI Application,Turn any Git repository into a simple text digest of its codebase so it can be fed into any LLM. [#opensource](https://github.com/cyclotruc/gitingest),2026-09-12T07:57:10.568611+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://repomix.com/,Repomix,Repomix,FREE,Generative AI Application,Pack your codebase into AI-friendly formats. [#opensource](https://github.com/yamadashy/repomix),2026-09-12T07:57:10.568633+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://github.com/ggml-org/llama.cpp,llama.cpp,Llama.Cpp,FREE,Generative AI Application,Inference of Meta's LLaMA model (and others) in pure C/C++. #opensource,2026-09-12T07:57:10.568661+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://github.com/microsoft/BitNet,bitnet.cpp,Bitnet.Cpp,FREE,Generative AI Application,"Official inference framework for 1-bit LLMs, by Microsoft. [#opensource](https://github.com/microsoft/BitNet)",2026-09-12T07:57:10.568687+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://openrouter.ai/,OpenRouter,OpenRouter,FREE,Generative AI Application,A unified interface for LLMs. [#opensource](https://github.com/OpenRouterTeam),2026-09-12T07:57:10.568707+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://github.com/ludwig-ai/ludwig,Ludwig,Ludwig,FREE,Generative AI Application,A low-code framework for building custom AI models like LLMs and other deep neural networks. [#opensource](https://github.com/ludwig-ai/ludwig),2026-09-12T07:57:10.568729+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://unsloth.ai,Unsloth,Unsloth,FREE,Generative AI Application,A Python library for fine-tuning LLMs [#opensource](https://github.com/unslothai/unsloth).,2026-09-12T07:57:10.568755+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://github.com/openlit/openlit,OpenLIT,OpenLIT,FREE,Generative AI Application,Open-source GenAI and LLM observability platform native to OpenTelemetry with traces and metrics. #opensource,2026-09-12T07:57:10.568781+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://helicone.ai/,Helicone AI,Helicone AI,FREE,Generative AI Application,"Open-source LLM observability platform for logging, monitoring, and debugging AI applications. [#opensource](https://github.com/Helicone/helicone)",2026-09-12T07:57:10.568808+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://www.getwren.ai/oss,Wren AI,Wren AI,FREE,Generative AI Application,An open-source text-to-SQL and generative BI agent with a semantic layer. [#opensource](https://github.com/Canner/WrenAI),2026-09-12T07:57:10.568835+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://cleanlab.ai/tlm/,Cleanlab,Cleanlab,FREEMIUM,Generative AI Application,An API for detecting and scoring hallucinations in LLM outputs.,2026-09-12T07:57:10.568858+00:00
1.0,PRODUCT,Awesome Generative AI Directory,https://github.com/comet-ml/opik,Opik,Opik,FREE,Generative AI Application,"An open-source platform for tracing, evaluating, and monitoring LLM applications. [#opensource](https://github.com/comet-ml/opik)",2026-09-12T07:57:10.568881+00:00
