schemaVersion,recordType,source.name,source.url,content.title,content.published_date,summary,category,collectedAt
1.0,NEWS,Wired AI,https://www.wired.com/story/everything-new-you-can-do-with-siri-ai/,Everything New You Can Do With Siri AI,2026-09-10T10:30:00+00:00,"When iOS 27 arrives, it will bring with it a fully revamped assistant for your iPhone.",Artificial Intelligence,2026-09-10T15:31:41.743418+00:00
1.0,NEWS,Wired AI,https://www.wired.com/story/clearview-ai-is-testing-an-ai-tool-that-lets-cops-instantly-unearth-your-online-activity/,Clearview AI Is Testing an AI Tool That Would Let Cops Unearth Your Life Online,2026-09-10T10:00:00+00:00,"InquiryIQ, a previously unreported prototype, tested a model from xAI, maker of Grok, to surface associates, social accounts, and other information about people identified through Clearview.",Artificial Intelligence,2026-09-10T15:31:41.743790+00:00
1.0,NEWS,Wired AI,https://www.wired.com/story/anthropic-researcher-quits-jacob-coxon-ai-fears-humanity/,The AI Researcher Who Just Quit Anthropic Says It’s ‘Crunch Time for Humanity’,2026-09-09T22:11:55+00:00,"Jacob Coxon talks to WIRED about the “mini Manhattan project” inside Anthropic, the problem with alignment, and why AI labs have just a few years left to make their systems safe.",Artificial Intelligence,2026-09-10T15:31:41.744177+00:00
1.0,NEWS,Wired AI,https://www.wired.com/story/san-francisco-orders-meta-to-stop-allowing-ai-child-abuse-ads/,San Francisco Orders Meta to Stop ‘Allowing’ AI Child Abuse Ads,2026-09-09T21:15:27+00:00,The City Attorney’s Office has asked Meta to explain how the harmful ads repeatedly ran on Facebook and Instagram. The company claims the ads are not under the city’s jurisdiction.,Artificial Intelligence,2026-09-10T15:31:41.744399+00:00
1.0,NEWS,Wired AI,https://www.wired.com/story/i-used-ai-to-hack-my-home-network/,I Let an AI Agent Hack All My Gadgets—and I’d Do It Again,2026-09-09T18:30:00+00:00,"After I removed the safety guardrails from a powerful open-source model, it found vulnerabilities in my household devices and hacked into a PC. But it also told me how to make everything a lot more secure.",Artificial Intelligence,2026-09-10T15:31:41.744591+00:00
1.0,NEWS,Ars Technica,https://arstechnica.com/space/2026/09/artemis-ii-commander-and-pilot-become-nasas-first-astronaut-emeriti/,Artemis II commander and pilot become NASA's first astronaut emeriti,2026-09-10T11:30:42+00:00,"""Artemis II is done.""",Artificial Intelligence,2026-09-10T15:31:41.759220+00:00
1.0,NEWS,Ars Technica,https://arstechnica.com/information-technology/2026/09/4-groups-caught-using-the-same-chrome-and-windows-exploit-kit/,Four groups caught using the same Chrome and Windows exploit kit,2026-09-09T20:55:02+00:00,A patch gap and the hastened pace of AI-based vulnerability discovery are likely contributors.,Artificial Intelligence,2026-09-10T15:31:41.759437+00:00
1.0,NEWS,Ars Technica,https://arstechnica.com/space/2026/09/as-europe-flounders-in-space-a-rising-french-star-may-show-the-way/,Europe may finally have found a space entrepreneur who is meeting the moment,2026-09-09T20:27:40+00:00,"""We will not be relevant without a massive rocket at a massive cadence.""",Artificial Intelligence,2026-09-10T15:31:41.759612+00:00
1.0,NEWS,Ars Technica,https://arstechnica.com/tech-policy/2026/09/six-chinese-ai-firms-accused-of-aggressively-copying-us-frontier-models/,Six Chinese AI firms accused of aggressively copying US frontier models,2026-09-09T20:06:28+00:00,"US urges AI firms to ID, then secretly switch, Chinese users to less-capable models.",Artificial Intelligence,2026-09-10T15:31:41.759784+00:00
1.0,NEWS,Ars Technica,https://arstechnica.com/gadgets/2026/09/apples-long-rumored-foldable-becomes-reality-with-the-2000-iphone-duo/,"Apple's long-rumored foldable becomes reality with the $2,000 iPhone Duo",2026-09-09T19:42:00+00:00,Apple's first foldable can be yours next month.,Artificial Intelligence,2026-09-10T15:31:41.759941+00:00
